Date,HomeTeam,AwayTeam,NeutralSite,Season
2026-12-11,Merrimack,Massachusetts,False,20262027
2026-12-11,Boston University,Northeastern,False,20262027
2026-12-11,Lake Superior,Minnesota State,False,20262027
2026-12-11,Bemidji State,Michigan Tech,False,20262027
2026-12-11,Bowling Green,Ferris State,False,20262027
2026-12-11,Northern Michigan,Augustana,False,20262027
2026-12-11,UMass Lowell,Maine,False,20262027
2026-12-12,Ohio State,Connecticut,False,20262027
2026-12-12,Penn State,Army,False,20262027
2026-12-12,Alaska Anchorage,LIU,False,20262027
2026-12-12,North Dakota,Minnesota Duluth,False,20262027
2026-12-12,Quinnipiac,Stonehill,False,20262027
2026-12-12,Vermont,St. Lawrence,False,20262027
2026-12-12,Alaska,Union,False,20262027
2026-12-12,Colorado College,St. Thomas,False,20262027
2026-12-12,Boston University,Northeastern,False,20262027
2026-12-12,Arizona State,Western Michigan,False,20262027
2026-12-12,Massachusetts,Merrimack,False,20262027
2026-12-12,St. Cloud State,Denver,False,20262027
2026-12-12,Bemidji State,Michigan Tech,False,20262027
2026-12-12,Lake Superior,Minnesota State,False,20262027
2026-12-12,Northern Michigan,Augustana,False,20262027
2026-12-12,Bowling Green,Ferris State,False,20262027
2026-12-12,RIT,Niagara,False,20262027
2026-12-13,Dartmouth,New Hampshire,False,20262027
2026-12-15,Dartmouth,Holy Cross,False,20262027
2026-12-16,St. Cloud State,Bemidji State,False,20262027
2026-12-18,Augustana,Alaska,False,20262027
2026-12-18,Augsburg,Alaska,False,20262027
2026-12-19,Augustana,Alaska,False,20262027
2026-12-19,Maine,Army,False,20262027
2026-12-19,Vermont,Dartmouth,False,20262027
2026-12-19,Augsburg,Alaska,False,20262027
2026-12-28,Ferris State,St. Lawrence,True,20262027
2026-12-28,LIU,Army,False,20262027
2026-12-29,Massachusetts,Arizona State,True,20262027
2026-12-29,Sacred Heart,Yale,False,20262027
2026-12-29,liu or army,St. Lawrence,True,20262027
2026-12-29,LIU,SLU / FSU,False,20262027
2026-12-30,Wisconsin/NMU,Arizona State,True,20262027
2026-12-31,Penn State,Niagara,False,20262027
2026-12-31,Alaska Anchorage,Colorado College,False,20262027
2027-01-01,North Dakota,Clarkson,False,20262027
2027-01-01,Providence,St. Thomas,False,20262027
2027-01-01,Maine,Miami,False,20262027
2027-01-01,Union,Bentley,False,20262027
2027-01-01,St. Cloud State,Alaska,False,20262027
2027-01-01,Bowling Green,Denver,False,20262027
2027-01-01,Notre Dame,Stonehill,False,20262027
2027-01-01,Yale,Harvard,False,20262027
2027-01-01,Brown,Dartmouth,False,20262027
2027-01-01,Alaska Anchorage,Colorado College,False,20262027
2027-01-02,North Dakota,Clarkson,False,20262027
2027-01-02,Omaha,Cornell,False,20262027
2027-01-02,St. Cloud State,Alaska,False,20262027
2027-01-02,Maine,Miami,False,20262027
2027-01-02,New Hampshire,RIT,False,20262027
2027-01-02,RPI,Vermont,False,20262027
2027-01-02,Union,Bentley,False,20262027
2027-01-02,Quinnipiac,mvl,False,20262027
2027-01-02,LIU,Northeastern,False,20262027
2027-01-02,Providence,St. Thomas,False,20262027
2027-01-02,Notre Dame,Stonehill,False,20262027
2027-01-02,Robert Morris,St. Lawrence,False,20262027
2027-01-02,Air Force,Lake Superior,False,20262027
2027-01-02,Niagara,Penn State,False,20262027
2027-01-02,Connecticut,Merrimack,False,20262027
2027-01-02,Yale,Dartmouth,False,20262027
2027-01-02,Brown,Harvard,False,20262027
2027-01-02,Canisius,Sacred Heart,False,20262027
2027-01-02,Bowling Green,Denver,False,20262027
2027-01-03,Robert Morris,St. Lawrence,False,20262027
2027-01-03,Air Force,Lake Superior,False,20262027
2027-01-03,Omaha,Cornell,False,20262027
2027-01-03,Canisius,Sacred Heart,False,20262027
2027-01-03,Holy Cross,mvl,False,20262027
2027-01-05,Brown,Army,False,20262027
2027-01-07,UMass Lowell,Connecticut,False,20262027
2027-01-08,RPI,Colgate,False,20262027
2027-01-08,Boston College,Stonehill,False,20262027
2027-01-08,Lindenwood,mvl,False,20262027
2027-01-08,St. Thomas,St. Cloud State,False,20262027
